"benchmark_id","case_id","dataset_group","difficulty","query","gold_fact_count","gold_qrel_count","full_provision_ranked_provisions","full_provision_context_provisions","full_provision_returned_provisions","full_provision_recall_at_k","full_provision_precision_at_k","full_provision_ndcg_at_k","full_provision_fact_coverage","full_provision_evidence_precision","full_provision_context_chars","full_provision_context_words","full_provision_estimated_context_tokens","full_structured_ranked_provisions","full_structured_context_provisions","full_structured_returned_provisions","full_structured_recall_at_k","full_structured_precision_at_k","full_structured_ndcg_at_k","full_structured_fact_coverage","full_structured_evidence_precision","full_structured_context_chars","full_structured_context_words","full_structured_estimated_context_tokens"
"R001","Q171","external","Trung bình","trách nhiệm khấu trừ kê khai nộp thuế cá nhân kinh doanh sàn thương mại điện tử có chức năng thanh toán từ năm 2026","1","4","5","5","5","0.5","0.4","0.58557","1.0","0.4","4306","935","1077","9","9","9","0.5","0.222222","0.58557","1.0","0.222222","5857","1276","1465"
"R002","Q196","external","Khó","miễn thuế thu nhập cá nhân chuyển nhượng nhà ở duy nhất","4","2","5","5","5","1.0","0.4","1.0","1.0","0.4","3403","758","851","6","6","6","1.0","0.333333","1.0","1.0","0.333333","3484","776","871"
"R003","Q200","external","Khó","thời điểm tính thu nhập chịu thuế thu nhập cá nhân tiền thưởng Tết","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","794","172","199","7","7","7","1.0","0.142857","1.0","1.0","0.142857","1142","246","286"
"R004","Q143","external","Dễ","đơn vị thời gian tính tiền chậm nộp thuế","1","1","5","5","5","1.0","0.2","0.5","1.0","0.2","5874","1261","1469","7","7","7","1.0","0.142857","0.5","1.0","0.142857","6405","1377","1602"
"R005","Q150","external","Trung bình","cá nhân kinh doanh thông báo số tài khoản ngân hàng với cơ quan thuế qua eTax","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","1002","219","251","7","7","7","1.0","0.142857","1.0","1.0","0.142857","1594","349","399"
"R006","Q142","external","Trung bình","thuế suất thuế giá trị gia tăng dịch vụ ăn uống","1","1","5","6","6","0.0","0.0","0.0","0.0","0.0","11213","2511","2804","9","10","10","0.0","0.0","0.0","0.0","0.0","15370","3429","3843"
"R007","Q178","external","Dễ","trách nhiệm nhà quản lý sàn thương mại điện tử xử lý thuế đã khấu trừ khi giao dịch bị hủy hoặc trả lại hàng","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","5740","1255","1435","8","8","8","1.0","0.125","1.0","1.0","0.125","6704","1471","1676"
"R008","Q173","external","Trung bình","thu nhập từ kiều hối gửi từ nước ngoài về Việt Nam có chịu thuế thu nhập cá nhân không","2","3","5","6","6","1.0","0.6","1.0","1.0","0.5","1493","326","374","5","6","6","1.0","0.6","1.0","1.0","0.5","1493","326","374"
"R009","Q175","external","Dễ","ngưỡng doanh thu cá nhân kinh doanh thương mại điện tử phải kê khai nộp thuế","3","1","5","5","5","1.0","0.2","1.0","1.0","0.2","6977","1526","1745","9","9","9","1.0","0.111111","1.0","1.0","0.111111","10847","2394","2712"
"R010","Q180","external","Khó","quy định mức giảm trừ gia cảnh thuế thu nhập cá nhân năm 2026","2","2","5","5","5","1.0","0.4","0.877215","1.0","0.4","9172","2016","2293","9","9","9","1.0","0.222222","0.877215","1.0","0.222222","10358","2271","2590"
"R011","Q138","external","Dễ","miễn thuế thu nhập cá nhân chuyển nhượng bất động sản giữa người thân","1","1","5","5","5","1.0","0.2","1.0","1.0","0.2","3359","723","840","9","9","9","1.0","0.111111","1.0","1.0","0.111111","6898","1506","1725"
"R012","Q170","external","Trung bình","hộ kinh doanh tiệm spa kê khai nộp các loại thuế nào","2","2","5","5","5","1.0","0.4","0.693426","1.0","0.4","10614","2339","2654","7","7","7","1.0","0.285714","0.693426","1.0","0.285714","13694","3035","3424"
"R013","Q177","external","Trung bình","nghĩa vụ thuế cá nhân cho thuê bất động sản 5 phòng trọ","2","2","5","5","5","1.0","0.4","1.0","1.0","0.4","4205","942","1052","9","9","9","1.0","0.222222","1.0","1.0","0.222222","11430","2526","2858"
"R014","Q163","external","Trung bình","thời điểm tính thuế thu nhập cá nhân tiền thưởng Tết Âm lịch","1","2","5","5","5","0.0","0.0","0.0","0.0","0.0","6992","1525","1748","9","9","9","0.0","0.0","0.0","0.0","0.0","7651","1665","1913"
"R015","Q169","external","Dễ","tiền lương hưu hằng tháng có chịu thuế thu nhập cá nhân không","1","1","5","6","6","1.0","0.2","0.63093","1.0","0.166667","6877","1500","1720","8","9","9","1.0","0.125","0.63093","1.0","0.111111","13964","3063","3491"
"R016","Q168","external","Dễ","hộ kinh doanh bị lỗ có phải nộp thuế không","2","1","5","5","5","1.0","0.2","1.0","1.0","0.2","8435","1833","2109","8","8","8","1.0","0.125","1.0","1.0","0.125","10858","2369","2715"
"R017","Q136","external","Khó","quy định tính thuế thu nhập cá nhân từ tiền lương tiền công tháng 1 năm 2025","2","4","5","6","6","0.25","0.2","0.246302","0.5","0.166667","5236","1171","1309","7","8","8","0.5","0.285714","0.385359","1.0","0.25","6732","1497","1683"
"R018","Q166","external","Dễ","các khoản thu nhập từ tiền lương tiền công được miễn thuế thu nhập cá nhân","3","3","5","6","6","0.666667","0.4","0.703918","0.666667","0.333333","7999","1763","2000","9","10","10","0.666667","0.222222","0.703918","0.666667","0.2","10168","2230","2542"
"R019","Q139","external","Trung bình","cách tính thuế thu nhập cá nhân tiền lương tiền công","2","3","5","5","5","0.666667","0.4","0.703918","1.0","0.4","10467","2310","2617","9","9","9","0.666667","0.222222","0.703918","1.0","0.222222","17447","3857","4362"
"R020","Q146","external","Trung bình","thời hạn nộp hồ sơ khai thuế đối với tổ chức khai và nộp thuế thay cho cá nhân cho thuê tài sản","2","2","5","5","5","1.0","0.4","1.0","1.0","0.4","12563","2774","3141","7","7","7","1.0","0.285714","1.0","1.0","0.285714","17833","3929","4459"
"R021","Q145","external","Khó","nghĩa vụ thuế giá trị gia tăng và thuế thu nhập cá nhân đối với cá nhân cho thuê bất động sản có doanh thu 900 triệu đồng trong năm 2026","2","2","5","5","5","0.0","0.0","0.0","0.0","0.0","4708","1048","1177","9","9","9","0.0","0.0","0.0","0.0","0.0","8411","1866","2103"
"R022","Q158","external","Trung bình","xử lý số thuế đã nộp hộ kinh doanh doanh thu thực tế cả năm 2026 đạt 800 triệu đồng","2","4","5","5","5","0.75","0.6","0.73659","1.0","0.6","2858","631","715","8","8","8","0.75","0.375","0.73659","1.0","0.375","3833","844","959"
"R023","Q154","external","Khó","hộ kinh doanh giết mổ bán thịt tươi sống thuế thuế giá trị gia tăng thuế thuế thu nhập cá nhân","1","1","5","5","5","0.0","0.0","0.0","0.0","0.0","9374","2054","2344","9","9","9","0.0","0.0","0.0","0.0","0.0","13387","2947","3347"
"R024","Q149","external","Dễ","cá nhân cho thuê bất động sản thông báo tài khoản ngân hàng cho cơ quan thuế","1","1","5","5","5","0.0","0.0","0.0","0.0","0.0","4977","1109","1245","9","9","9","0.0","0.0","0.0","0.0","0.0","10803","2405","2701"
