"benchmark_id","case_id","dataset_group","difficulty","query","gold_fact_count","gold_qrel_count","status","dense_candidate_pool","dense_ranked_subchunks","dense_context_subchunks","dense_recall_at_k","dense_precision_at_k","dense_ndcg_at_k","dense_fact_coverage","dense_evidence_precision","dense_context_chars","dense_context_words","dense_estimated_context_tokens","bm25_candidate_pool","bm25_ranked_subchunks","bm25_context_subchunks","bm25_recall_at_k","bm25_precision_at_k","bm25_ndcg_at_k","bm25_fact_coverage","bm25_evidence_precision","bm25_context_chars","bm25_context_words","bm25_estimated_context_tokens","hybrid_rrf_candidate_pool","hybrid_rrf_ranked_subchunks","hybrid_rrf_context_subchunks","hybrid_rrf_recall_at_k","hybrid_rrf_precision_at_k","hybrid_rrf_ndcg_at_k","hybrid_rrf_fact_coverage","hybrid_rrf_evidence_precision","hybrid_rrf_context_chars","hybrid_rrf_context_words","hybrid_rrf_estimated_context_tokens","hybrid_rerank_candidate_pool","hybrid_rerank_ranked_subchunks","hybrid_rerank_context_subchunks","hybrid_rerank_recall_at_k","hybrid_rerank_precision_at_k","hybrid_rerank_ndcg_at_k","hybrid_rerank_fact_coverage","hybrid_rerank_evidence_precision","hybrid_rerank_context_chars","hybrid_rerank_context_words","hybrid_rerank_estimated_context_tokens","elapsed_seconds"
"R001","Q171","external","Trung bình","trách nhiệm khấu trừ kê khai nộp thuế cá nhân kinh doanh sàn thương mại điện tử có chức năng thanh toán từ năm 2026","1","4","ok","20","5","5","0.5","0.4","0.636682","1.0","0.4","2017","446","505","20","5","5","0.75","0.6","0.787702","1.0","0.6","1906","422","477","20","5","5","0.5","0.4","0.58557","1.0","0.4","1593","357","399","20","5","5","0.25","0.2","0.39038","1.0","0.2","1954","425","489","20.221"
"R002","Q196","external","Khó","miễn thuế thu nhập cá nhân chuyển nhượng nhà ở duy nhất","4","2","ok","20","5","5","1.0","0.4","1.0","0.75","0.6","1666","365","417","20","5","5","1.0","0.4","0.693426","0.75","0.6","1348","297","337","20","5","5","1.0","0.4","0.919721","0.75","0.6","1348","297","337","20","5","5","1.0","0.4","1.0","0.75","0.4","1328","290","332","18.13"
"R003","Q200","external","Khó","thời điểm tính thu nhập chịu thuế thu nhập cá nhân tiền thưởng Tết","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1317","286","330","20","5","5","1.0","0.2","0.430677","1.0","0.2","1118","232","280","20","5","5","1.0","0.2","0.430677","1.0","0.2","1228","259","307","20","5","5","1.0","0.2","0.430677","1.0","0.2","1133","244","284","12.823"
"R004","Q143","external","Dễ","đơn vị thời gian tính tiền chậm nộp thuế","1","1","ok","20","5","5","1.0","0.2","0.5","1.0","0.2","1741","379","436","20","5","5","1.0","0.2","0.63093","1.0","0.2","1836","397","459","20","5","5","1.0","0.2","1.0","1.0","0.2","1397","301","350","20","5","5","1.0","0.2","0.63093","1.0","0.2","2157","465","540","19.44"
"R005","Q150","external","Trung bình","cá nhân kinh doanh thông báo số tài khoản ngân hàng với cơ quan thuế qua eTax","1","1","ok","20","5","5","1.0","0.2","0.386853","1.0","0.2","1628","358","407","20","5","5","1.0","0.2","1.0","1.0","0.2","2061","453","516","20","5","5","1.0","0.2","0.63093","1.0","0.2","1798","394","450","20","5","5","1.0","0.2","1.0","1.0","0.2","2092","461","523","13.892"
"R006","Q142","external","Trung bình","thuế suất thuế giá trị gia tăng dịch vụ ăn uống","1","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1688","370","422","20","5","5","1.0","0.2","1.0","1.0","0.2","2031","465","508","20","5","5","1.0","0.2","0.63093","0.0","0.0","1883","422","471","20","5","5","1.0","0.2","1.0","1.0","0.2","1930","437","483","21.224"
"R007","Q178","external","Dễ","trách nhiệm nhà quản lý sàn thương mại điện tử xử lý thuế đã khấu trừ khi giao dịch bị hủy hoặc trả lại hàng","1","1","ok","20","5","5","1.0","0.2","1.0","1.0","0.2","1821","400","456","20","5","5","1.0","0.2","0.63093","1.0","0.2","1716","380","429","20","5","5","1.0","0.2","1.0","1.0","0.2","1707","375","427","20","5","5","1.0","0.2","1.0","1.0","0.2","1648","363","412","5.528"
"R008","Q173","external","Trung bình","thu nhập từ kiều hối gửi từ nước ngoài về Việt Nam có chịu thuế thu nhập cá nhân không","2","3","ok","20","5","5","0.333333","0.2","0.296082","0.5","0.2","1354","296","339","20","5","5","0.666667","0.4","0.650821","0.5","0.4","1319","288","330","20","5","5","0.666667","0.4","0.498189","0.5","0.4","1318","288","330","20","5","5","0.666667","0.4","0.650821","0.5","0.4","1313","287","329","5.448"
"R009","Q175","external","Dễ","ngưỡng doanh thu cá nhân kinh doanh thương mại điện tử phải kê khai nộp thuế","3","1","ok","20","5","5","0.0","0.0","0.0","0.0","0.0","1632","352","408","20","5","5","0.0","0.0","0.0","0.0","0.0","1935","417","484","20","5","5","0.0","0.0","0.0","0.0","0.0","1795","385","449","20","5","5","0.0","0.0","0.0","0.0","0.0","1397","304","350","4.306"
"R010","Q180","external","Khó","quy định mức giảm trừ gia cảnh thuế thu nhập cá nhân năm 2026","2","2","ok","20","5","5","0.5","0.2","0.613147","1.0","0.2","1534","333","384","20","5","5","0.5","0.2","0.613147","1.0","0.2","1911","427","478","20","5","5","1.0","0.4","0.624051","1.0","0.4","1713","378","429","20","5","5","0.0","0.0","0.0","0.0","0.0","1959","431","490","19.348"
