"case_id","fact_coverage","evidence_precision","temporal_accuracy","temporal_evidence_precision","answer_correctness","groundedness","evidence_count","required_fact_count","inference_status","judge_status","duration_seconds","error"
"Q001","1","0.667","1","1","1","1","3","1","ok","ok","106.001",""
"Q002","1","0.667","1","1","1","1","3","2","ok","ok","131.3",""
"Q003","1","1","1","1","1","1","1","2","ok","ok","76.526",""
"Q004","1","1","1","1","1","1","2","2","ok","ok","147.479",""
"Q005","1","1","1","1","1","1","1","2","ok","ok","153.73",""
"Q006","1","1","1","1","1","1","4","3","ok","ok","127.952",""
"Q007","0","0","0.5","0","0","0","0","3","ok","ok","457.867",""
"Q008","1","1","1","1","1","1","2","1","ok","ok","68.635",""
"Q009","1","1","1","1","1","1","1","1","ok","ok","116.421",""
"Q010","1","1","1","1","1","1","1","1","ok","ok","67.034",""
"Q011","1","1","1","1","1","1","1","1","ok","ok","65.816",""
"Q012","1","0.333","1","1","1","1","3","2","ok","ok","160.273",""
"Q013","1","1","1","1","1","1","1","2","ok","ok","121.604",""
"Q014","1","1","1","1","1","1","1","2","ok","ok","149.739",""
"Q015","1","0.667","1","1","1","1","3","2","ok","ok","123.924",""
"Q016","1","0.5","1","1","1","1","4","2","ok","ok","158.889",""
"Q017","1","0.667","1","1","1","1","3","2","ok","ok","199.83",""
"Q018","1","1","1","1","1","1","1","3","ok","ok","115.357",""
"Q019","1","1","1","1","1","1","1","1","ok","ok","96.937",""
"Q020","1","1","1","1","1","1","1","2","ok","ok","112.082",""
"Q021","1","1","1","1","1","1","1","2","ok","ok","106.252",""
"Q022","1","1","1","1","1","1","1","3","ok","ok","170.023",""
"Q023","0","0","0.5","0","0","0","0","2","failed","ok","5.264",""
"Q024","1","0.333","1","1","1","1","3","2","ok","ok","151.135",""
"Q025","1","0.5","1","1","1","1","2","3","ok","ok","205.614",""
"Q026","1","1","1","1","1","1","1","2","ok","ok","105.397",""
"Q027","1","1","1","1","1","1","1","1","ok","ok","103.174",""
"Q028","1","1","1","1","1","1","2","2","ok","ok","118.217",""
"Q029","1","1","1","1","0.2","0.75","3","3","ok","ok","292.869",""
"Q030","0.8","0.429","1","1","0.2","0.8","7","5","ok","ok","607.219",""
"Q031","1","0.286","1","1","1","1","7","4","ok","ok","835.09",""
"Q032","0.667","0.4","1","1","0.2","0","5","3","ok","ok","639.312",""
"Q033","1","0.333","1","1","0.2","0.75","6","4","ok","ok","482.429",""
"Q034","1","0.667","1","1","0.2","0.667","3","3","ok","ok","313.821",""
"Q035","1","0.5","1","1","1","1","2","2","ok","ok","230.579",""
"Q036","0.5","0.25","1","1","0.1","0.5","4","4","ok","ok","276.602",""
"Q037","1","1","1","1","0.2","0.667","3","2","ok","ok","285.28",""
"Q038","1","1","1","1","1","1","2","3","ok","ok","300.629",""
"Q039","1","0.5","1","1","1","1","4","2","ok","ok","202.797",""
"Q040","1","1","1","1","1","1","1","3","ok","ok","115.431",""
"Q041","1","0.2","1","1","1","1","5","1","ok","ok","253.344",""
"Q042","1","1","1","1","1","1","3","3","ok","ok","173.817",""
"Q043","1","1","1","1","1","1","2","3","ok","ok","161.813",""
"Q044","1","0.5","1","1","1","1","2","2","ok","ok","151.851",""
"Q045","1","1","1","1","1","1","1","2","ok","ok","214.808",""
"Q046","0","0","1","1","0.2","0.5","3","2","ok","ok","492.956",""
