"case_id","fact_coverage","evidence_precision","temporal_accuracy","temporal_evidence_precision","answer_correctness","groundedness","evidence_count","required_fact_count","inference_status","judge_status","duration_seconds","error"
"Q001","1","0.333","1","1","1","1","3","1","passed","ok","62.53",""
"Q002","1","0.5","1","1","1","1","4","2","passed","ok","70.54",""
"Q003","1","1","1","1","1","1","1","2","passed","ok","87.4",""
"Q004","1","1","1","1","1","1","2","2","passed","ok","86.83",""
"Q005","1","1","1","1","1","1","1","2","passed","ok","94.97",""
"Q006","1","1","1","1","1","1","2","3","passed","ok","75.32",""
"Q007","1","1","1","1","0.2","0.333","1","3","passed","ok","94.76",""
"Q008","1","0.5","1","1","1","1","4","1","passed","ok","67.64",""
"Q009","1","1","1","1","1","1","1","1","passed","ok","97.29",""
"Q010","1","1","1","1","1","1","1","1","passed","ok","72.49",""
"Q011","1","1","1","1","1","1","1","1","passed","ok","61.93",""
"Q012","1","0.5","1","1","1","1","2","2","passed","ok","81.82",""
"Q013","1","0.5","1","1","1","1","2","2","passed","ok","102.14",""
"Q014","1","1","1","1","1","1","1","2","passed","ok","124.83",""
"Q015","0.5","1","1","1","1","1","1","2","passed","ok","85.82",""
"Q016","1","1","1","1","1","1","2","2","passed","ok","96.07",""
"Q017","1","1","1","1","1","1","2","2","passed","ok","113.04",""
"Q018","1","0.5","1","1","1","1","2","3","passed","ok","81.76",""
"Q019","1","1","1","1","1","1","1","1","passed","ok","93.87",""
"Q020","1","0.333","1","1","1","1","3","2","passed","ok","89.6",""
"Q021","1","1","1","1","1","1","1","2","passed","ok","86.11",""
"Q022","1","1","1","1","1","1","1","3","passed","ok","89.85",""
"Q023","1","1","1","1","1","1","1","2","passed","ok","70.7",""
"Q024","1","1","1","1","1","1","1","2","passed","ok","99.82",""
"Q025","1","0.5","1","1","1","1","4","3","passed","ok","88.94",""
"Q026","1","1","1","1","1","1","1","2","passed","ok","76.64",""
"Q027","1","1","1","1","1","1","1","1","passed","ok","108.21",""
"Q028","1","1","1","1","1","1","2","2","passed","ok","91.47",""
"Q029","1","0.5","1","1","1","1","4","3","passed","ok","281.98",""
"Q030","1","1","1","1","1","1","4","5","passed","ok","180.92",""
"Q031","1","0.667","1","1","0.2","1","3","4","passed","ok","110.35",""
"Q032","1","0.667","1","1","1","1","3","3","passed","ok","132.46",""
"Q033","1","1","1","1","1","1","2","4","passed","ok","119.57",""
"Q034","1","1","1","1","1","0.833","2","3","passed","ok","92.09",""
"Q035","1","1","1","1","1","1","1","2","passed","ok","141.44",""
"Q036","0.5","1","1","1","0.2","0.333","1","4","passed","ok","448.44",""
"Q037","1","0.667","1","1","0.8","0.8","3","2","passed","ok","127.75",""
"Q038","1","0.667","1","1","1","1","3","3","passed","ok","92.19",""
"Q039","1","0.75","1","1","1","1","4","2","passed","ok","136.32",""
"Q040","1","1","1","1","1","1","3","3","passed","ok","96.0",""
"Q041","1","0.333","1","1","1","1","6","1","passed","ok","156.78",""
"Q042","1","0.5","1","1","1","1","4","3","passed","ok","94.34",""
"Q043","1","1","1","1","1","1","1","3","passed","ok","82.78",""
"Q044","1","1","1","1","1","1","2","2","passed","ok","81.66",""
"Q045","1","0.5","1","1","1","1","2","2","passed","ok","159.4",""
"Q046","1","0.25","1","1","1","1","4","2","passed","ok","275.03",""
"Q047","1","1","1","1","1","1","1","2","passed","ok","157.35",""
"Q048","1","0.75","1","1","1","1","4","4","passed","ok","245.57",""
"Q049","1","1","1","1","1","1","3","2","passed","ok","152.98",""
"Q050","0.667","0.4","1","1","0.7","1","5","3","passed","ok","259.82",""
"Q051","1","1","1","1","1","1","2","2","passed","ok","116.3",""
"Q052","1","1","1","1","1","1","1","2","passed","ok","110.26",""
"Q053","1","0.5","1","1","1","1","2","1","passed","ok","220.48",""
"Q054","1","1","1","1","1","1","1","1","passed","ok","99.55",""
"Q055","1","1","1","1","1","1","2","2","passed","ok","137.36",""
"Q056","1","0.333","1","1","1","1","3","1","passed","ok","148.89",""
"Q057","1","1","1","1","1","1","1","1","passed","ok","100.89",""
"Q058","1","1","1","1","1","1","1","2","passed","ok","138.62",""
"Q059","1","0.5","1","1","1","1","2","1","passed","ok","110.52",""
"Q060","1","0.5","1","1","1","1","2","1","passed","ok","108.46",""
"Q061","1","1","1","1","1","1","2","2","passed","ok","111.45",""
"Q062","1","1","1","1","1","1","1","2","passed","ok","117.9",""
"Q063","1","1","1","1","1","1","2","2","passed","ok","146.31",""
"Q064","1","1","1","1","1","1","2","2","passed","ok","138.47",""
"Q065","1","1","0","1","1","1","2","2","passed","ok","156.45",""
"Q066","1","1","1","1","1","1","1","1","passed","ok","124.79",""
"Q067","1","1","1","1","1","1","1","1","passed","ok","104.38",""
"Q068","1","1","1","1","1","1","1","2","passed","ok","95.87",""
"Q069","1","1","1","1","1","1","1","1","passed","ok","132.46",""
"Q070","0","0","0","1","0.2","1","1","1","passed","ok","96.36",""
"Q071","1","1","1","1","1","1","1","2","passed","ok","137.17",""
"Q072","1","1","1","1","1","1","1","1","passed","ok","136.72",""
"Q073","1","1","1","1","1","1","2","1","passed","ok","150.53",""
"Q074","1","1","1","1","1","1","1","1","passed","ok","80.84",""
"Q075","1","1","1","1","1","1","1","1","passed","ok","88.82",""
"Q076","1","1","1","1","1","1","4","4","passed","ok","166.48",""
"Q077","1","1","1","1","1","1","2","2","passed","ok","171.42",""
"Q078","1","1","1","1","1","1","2","2","passed","ok","161.32",""
"Q079","1","0.667","1","1","1","1","3","2","passed","ok","204.7",""
"Q080","1","0.5","1","1","1","1","6","2","passed","ok","327.75",""
"Q081","1","1","1","1","1","1","2","2","passed","ok","193.16",""
"Q082","1","1","1","1","0.2","1","4","1","passed","ok","151.23",""
"Q083","0","0","0","1","0","0","1","3","passed","ok","984.11",""
"Q084","1","0.75","1","1","1","1","4","2","passed","ok","221.97",""
"Q085","1","1","1","1","1","1","3","2","passed","ok","193.28",""
