"case_id","fact_coverage","evidence_precision","temporal_accuracy","answer_correctness","groundedness","evidence_count","inference_status","judge_status","duration_seconds","error"
"Q001","1","0.4","1","1","1","5","ok","ok","40.346",""
"Q002","1","1","1","0.8","1","5","ok","ok","21.459",""
"Q003","1","0.2","1","0.8","1","5","ok","ok","29.357",""
"Q004","1","0.2","1","1","1","5","ok","ok","35.533",""
"Q005","1","0.2","1","1","1","5","ok","ok","29.687",""
"Q006","0.667","0.4","0","0.2","0.75","5","ok","ok","20.662",""
"Q007","0","0.2","0","0.2","0.25","5","ok","ok","22.671",""
"Q008","1","0.4","1","1","1","5","ok","ok","17.884",""
"Q009","1","0.2","1","1","1","5","ok","ok","26.541",""
"Q010","0","0","1","0.8","1","5","ok","ok","17.929",""
"Q011","1","0.6","1","1","1","5","ok","ok","20.152",""
"Q012","1","0.2","1","1","1","5","ok","ok","17.912",""
"Q013","1","0.2","1","0.9","1","5","ok","ok","24.801",""
"Q014","1","0.4","0.5","0.9","1","5","ok","ok","35.233",""
"Q015","1","0.4","0","1","1","5","ok","ok","25.962",""
"Q016","1","0.2","1","1","1","5","ok","ok","24.72",""
"Q017","0.5","0.4","0.5","0.5","1","5","ok","ok","20.285",""
"Q018","1","0.8","1","1","1","5","ok","ok","41.089",""
"Q019","1","0.6","1","1","1","5","ok","ok","29.682",""
"Q020","1","0.4","1","1","1","5","ok","ok","27.696",""
"Q021","1","1","1","1","1","5","ok","ok","25.507",""
"Q022","0","0","0","0.2","0.5","5","ok","ok","25.929",""
"Q023","1","0.8","1","1","1","5","ok","ok","32.904",""
"Q024","0","0","1","0.4","1","5","ok","ok","22.27",""
"Q025","1","0.2","1","1","1","5","ok","ok","32.567",""
"Q026","0.5","0.2","1","0.5","1","5","ok","ok","40.042",""
"Q027","1","0.2","1","1","1","5","ok","ok","19.742",""
"Q028","1","0.8","1","1","1","5","ok","ok","23.976",""
"Q029","0","0.2","1","0","0.5","5","ok","ok","62.648",""
"Q030","0.6","0.6","1","0.4","1","5","ok","ok","56.622",""
"Q031","0","0.6","0","0.4","0.6","5","ok","ok","45.769",""
"Q032","0","0.2","0","0.4","0.6","5","ok","ok","47.081",""
"Q033","0.75","0.4","1","1","0.8","5","ok","ok","38.073",""
"Q034","0.667","0.6","1","0.2","0.75","5","ok","ok","34.753",""
"Q035","1","0.6","1","1","1","5","ok","ok","37.071",""
"Q036","0.5","0.4","0","0.2","1","5","ok","ok","50.172",""
"Q037","1","0.4","1","1","1","5","ok","ok","39.623",""
"Q038","1","0.2","1","0.9","1","5","ok","ok","17.408",""
"Q039","0.5","0.4","0","0.5","0.75","5","ok","ok","19.667",""
"Q040","1","0.8","1","1","1","5","ok","ok","21.001",""
"Q041","1","0.2","1","1","1","5","ok","ok","38.039",""
"Q042","1","0.4","1","0.6","0.75","5","ok","ok","32.683",""
"Q043","0.333","0.2","0","0.2","0.5","5","ok","ok","38.606",""
