"case_id","fact_coverage","evidence_precision","temporal_accuracy","temporal_evidence_precision","answer_correctness","groundedness","evidence_count","inference_status","judge_status","duration_seconds","error"
"Q001","1","0.4","1","0.4","1","1","5","ok","ok","44.494",""
"Q002","1","0.8","1","1","0.8","1","5","ok","ok","22.717",""
"Q003","1","0.2","1","0.2","1","1","5","ok","ok","20.257",""
"Q004","1","0.2","1","0.8","1","1","5","ok","ok","24.591",""
"Q005","1","0.2","1","0.2","1","1","5","ok","ok","21.018",""
"Q006","0.667","0.4","0","0","0.3","1","5","ok","ok","28.773",""
"Q007","0.333","0.2","0","0.8","0.2","0.333","5","ok","ok","22.677",""
"Q008","1","0.4","1","0.6","1","1","5","ok","ok","23.224",""
"Q009","1","0.2","1","0.2","1","1","5","ok","ok","19.91",""
"Q010","0","0","1","0","0.8","0.5","5","ok","ok","21.685",""
"Q011","1","0.6","1","0.4","1","1","5","ok","ok","30.942",""
"Q012","1","0.2","1","0.4","1","1","5","ok","ok","29.113",""
"Q013","1","0.4","1","0.4","0.9","1","5","ok","ok","23.279",""
"Q014","1","0.4","1","0.4","1","1","5","ok","ok","21.033",""
"Q015","1","0.2","1","1","1","1","5","ok","ok","27.855",""
"Q016","1","0.2","1","0.4","1","1","5","ok","ok","19.676",""
"Q017","1","0.2","0","0.4","1","1","5","ok","ok","22.242",""
"Q018","1","0.6","1","0.8","1","1","5","ok","ok","25.702",""
"Q019","1","0.2","0","0.2","1","1","5","ok","ok","22.805",""
"Q020","1","0.4","1","0.4","1","1","5","ok","ok","26.244",""
"Q021","1","1","1","0.6","1","1","5","ok","ok","23.149",""
"Q022","0.667","0.2","1","0.4","0.8","1","5","ok","ok","47.061",""
"Q023","1","0.8","1","0.6","1","1","5","ok","ok","26.431",""
"Q024","0.5","0.4","1","0.6","0.4","0.8","5","ok","ok","23.409",""
"Q025","1","0.2","1","0.6","1","1","5","ok","ok","26.088",""
"Q026","0.5","0.2","1","1","0.5","1","5","ok","ok","19.861",""
"Q027","1","0.2","1","1","1","1","5","ok","ok","23.347",""
"Q028","0.5","0.8","1","1","1","1","5","ok","ok","18.84",""
"Q029","0.667","0.2","1","1","0","0.6","5","ok","ok","30.661",""
"Q030","0.4","0.2","0","0.4","0.2","0.5","5","ok","ok","25.218",""
"Q031","0.5","0.2","0","0.4","0.2","1","5","ok","ok","23.846",""
"Q032","0.667","0.2","0","0.4","0.3","0.667","5","ok","ok","30.408",""
"Q033","0.5","0.4","1","0.4","0.2","1","5","ok","ok","31.054",""
"Q034","0.667","0.6","0.5","0.6","0.2","0.75","5","ok","ok","35.249",""
"Q035","0.5","0.6","0.5","0.6","0.4","0.75","5","ok","ok","54.916",""
"Q036","0.5","0.4","0","0.2","0.2","1","5","ok","ok","56.056",""
"Q037","1","0.4","0","0","1","1","5","ok","ok","34.153",""
"Q038","1","0.4","1","1","1","1","5","ok","ok","25.098",""
