"case_id","fact_coverage","evidence_precision","temporal_accuracy","temporal_evidence_precision","answer_correctness","groundedness","evidence_count","inference_status","judge_status","duration_seconds","error"
"Q001","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","68.517",""
"Q002","1.0","1.0","1.0","0.5","0.9","1.0","2","ok","ok","57.884",""
"Q003","1.0","0.333333","0.0","0.333333","0.5","1.0","3","ok","ok","56.692",""
"Q004","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","68.221",""
"Q005","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","71.198",""
"Q006","1.0","1.0","1.0","1.0","1.0","1.0","4","ok","ok","69.123",""
"Q007","0.0","0.0","0.0","0.0","0.2","0.666667","2","ok","ok","70.721",""
"Q008","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","55.077",""
"Q009","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","53.223",""
"Q010","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","137.195",""
"Q011","1.0","1.0","1.0","0.333333","1.0","1.0","3","ok","ok","52.879",""
"Q012","1.0","0.5","1.0","0.5","1.0","1.0","2","ok","ok","55.211",""
"Q013","1.0","0.333333","1.0","0.333333","1.0","1.0","3","ok","ok","57.605",""
"Q014","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","57.591",""
"Q015","0.0","0.0","1.0","1.0","1.0","1.0","1","ok","ok","60.322",""
"Q016","1.0","1.0","1.0","1.0","1.0","1.0","3","ok","ok","103.563",""
"Q017","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","58.039",""
"Q018","1.0","0.5","1.0","1.0","1.0","1.0","2","ok","ok","72.345",""
"Q019","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","73.37",""
"Q020","1.0","0.666667","1.0","1.0","1.0","1.0","3","ok","ok","115.573",""
"Q021","0.5","1.0","0.0","0.0","1.0","1.0","1","ok","ok","54.515",""
"Q022","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","62.478",""
"Q023","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","58.896",""
"Q024","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","74.035",""
"Q025","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","71.324",""
"Q026","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","54.296",""
"Q027","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","59.881",""
"Q028","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","54.643",""
"Q029","0.666667","0.25","0.0","0.75","0.2","1.0","4","ok","ok","87.706",""
"Q030","0.6","0.5","0.0","0.25","0.0","0.0","4","ok","ok","125.337",""
"Q031","0.5","1.0","0.5","0.333333","0.6","0.333333","3","ok","ok","151.991",""
"Q032","0.8","0.5","1.0","1.0","0.6","0.666667","4","ok","ok","117.077",""
"Q033","0.5","0.333333","1.0","0.333333","1.0","0.666667","3","ok","ok","165.656",""
"Q034","1.0","0.333333","1.0","1.0","1.0","0.25","3","ok","ok","123.7",""
"Q035","1.0","1.0","1.0","1.0","1.0","1.0","1","ok","ok","118.085",""
"Q036","0.5","1.0","0.5","0.333333","0.5","0.5","3","ok","ok","171.011",""
"Q037","1.0","0.666667","1.0","0.666667","1.0","1.0","3","ok","ok","112.289",""
"Q038","1.0","1.0","1.0","1.0","1.0","1.0","2","ok","ok","66.534",""
