"case_id","fact_coverage","evidence_precision","temporal_accuracy","answer_correctness","groundedness","evidence_count","inference_status","judge_status","duration_seconds","error"
"Q001","1","0.4","1","1","1","5","ok","ok","22.899",""
"Q002","1","0.8","0.5","0.8","1","5","ok","ok","24.287",""
"Q003","1","0.2","1","1","1","5","ok","ok","18.855",""
"Q004","1","0.2","1","1","1","5","ok","ok","21.338",""
"Q005","1","0.2","1","1","1","5","ok","ok","18.142",""
"Q006","0.333","0.4","1","0.4","0.5","5","ok","ok","24.66",""
"Q007","0.667","0.2","0","0.2","0.333","5","ok","ok","27.147",""
"Q008","1","0.4","1","1","1","5","ok","ok","16.996",""
"Q009","1","0.2","1","1","1","5","ok","ok","23.824",""
"Q010","1","0.2","1","1","1","5","ok","ok","24.33",""
"Q011","1","0.4","1","1","1","5","ok","ok","18.369",""
"Q012","1","0.4","1","1","1","5","ok","ok","25.713",""
"Q013","1","0.4","1","1","1","5","ok","ok","17.642",""
"Q014","1","0.4","1","1","1","5","ok","ok","19.237",""
"Q015","0.5","0.2","1","1","1","5","ok","ok","16.631",""
"Q016","1","0.2","1","1","1","5","ok","ok","18.611",""
"Q017","0","0.2","0","0","0","5","ok","ok","27.124",""
"Q018","1","0.6","1","1","1","5","ok","ok","21.863",""
"Q019","1","1","1","1","1","5","ok","ok","20.558",""
"Q020","1","0.4","1","1","1","5","ok","ok","19.741",""
"Q021","1","1","1","1","1","5","ok","ok","16.514",""
"Q022","0","0","0","0.3","0.25","5","ok","ok","15.92",""
"Q023","1","0.8","1","1","1","5","ok","ok","17.157",""
"Q024","1","0.2","1","0.9","1","5","ok","ok","20.613",""
"Q025","1","0.2","1","0.4","0.75","5","ok","ok","22.781",""
"Q026","0.5","0.2","1","0.5","1","5","ok","ok","22.27",""
"Q027","1","0.2","1","1","1","5","ok","ok","16.029",""
"Q028","0.5","0.8","1","1","1","5","ok","ok","31.653",""
"Q029","0.667","0.2","0","0.2","0.75","5","ok","ok","50.362",""
"Q030","0.2","0.2","0","0.2","0.75","5","ok","ok","19.365",""
"Q031","1","0.6","1","1","1","5","ok","ok","34.439",""
"Q032","0.667","0.4","0","0.4","0.6","5","ok","ok","78.399",""
"Q033","1","0.8","1","0.8","1","5","ok","ok","28.32",""
"Q034","0.667","0.8","1","0.6","0.6","5","ok","ok","31.893",""
"Q035","1","0.4","1","1","1","5","ok","ok","22.908",""
"Q036","0.75","0.6","1","1","1","5","ok","ok","25.809",""
"Q037","1","0.4","1","1","1","5","ok","ok","25.775",""
"Q038","1","0.2","1","0.9","1","5","ok","ok","67.024",""
"Q039","0","0.4","0","0.6","0.9","5","ok","ok","21.519",""
"Q040","1","0.4","1","1","1","5","ok","ok","29.177",""
"Q041","1","0.4","1","1","1","5","ok","ok","21.047",""
"Q042","0.667","0.2","1","0.7","1","5","ok","ok","40.071",""
"Q043","1","0.8","1","1","1","5","ok","ok","21.269",""
"Q044","1","0.2","1","1","0.667","5","ok","ok","27.932",""
"Q045","0.5","0.2","1","1","0.667","5","ok","ok","15.592",""
"Q046","1","0.2","1","0.2","0.75","5","ok","ok","21.908",""
"Q047","1","0.4","1","1","1","5","ok","ok","22.054",""
"Q048","0.25","0.2","1","0.2","0.667","5","ok","ok","20.313",""
"Q049","1","0.4","1","0.8","1","5","ok","ok","17.746",""
"Q050","0.667","0.4","0.5","0.5","1","5","ok","ok","38.976",""
"Q051","1","0.4","1","1","1","5","ok","ok","25.036",""
"Q052","0","0.2","1","0.2","0","5","ok","ok","20.783",""
"Q053","1","0.6","1","1","1","5","ok","ok","17.024",""
"Q054","1","1","1","1","1","5","ok","ok","24.631",""
"Q055","0","0.2","0","0","0","5","ok","ok","18.686",""
"Q056","1","0.4","1","1","1","5","ok","ok","19.456",""
"Q057","1","0.4","1","1","1","5","ok","ok","15.963",""
"Q058","0","0","0","0.2","1","5","ok","ok","20.59",""
"Q059","1","0.6","1","1","1","5","ok","ok","19.277",""
"Q060","1","0.4","0","0.2","1","5","ok","ok","18.177",""
"Q061","0","0","0","0.2","0.667","5","ok","ok","22.297",""
"Q062","0","0.2","1","0.5","0.333","5","ok","ok","18.148",""
"Q063","0","0","0.5","0.2","1","5","ok","ok","22.975",""
"Q064","0.5","0.4","1","1","1","5","ok","ok","16.012",""
"Q065","1","0.6","1","1","1","5","ok","ok","19.476",""
"Q066","1","0.2","1","1","1","5","ok","ok","20.492",""
"Q067","1","0.4","0","0.8","1","5","ok","ok","17.338",""
