"case_id","fact_coverage","evidence_precision","temporal_accuracy","temporal_evidence_precision","answer_correctness","groundedness","evidence_count","inference_status","judge_status","duration_seconds","error"
"Q001","1","0.2","1","0.4","1","1","5","ok","ok","24.975",""
"Q002","1","0.6","0","0.6","0.8","1","5","ok","ok","18.478",""
"Q003","1","0.2","0","0.2","0.5","1","5","ok","ok","15.622",""
"Q004","1","0.2","1","0.6","0.8","1","5","ok","ok","21.278",""
"Q005","1","0.2","1","0.4","1","1","5","ok","ok","19.791",""
"Q006","0.667","0.4","1","0.6","0.6","1","5","ok","ok","17.456",""
"Q007","0.333","0.2","0","0.6","0.2","1","5","ok","ok","18.302",""
"Q008","1","0.4","1","0.6","1","1","5","ok","ok","16.582",""
"Q009","1","0.2","1","0.2","1","1","5","ok","ok","17.972",""
"Q010","0","0","1","0","0.5","0.5","5","ok","ok","16.308",""
"Q011","1","0.2","1","0.4","1","1","5","ok","ok","15.457",""
"Q012","1","0.2","1","0.4","1","1","5","ok","ok","38.992",""
"Q013","1","0.4","1","0.4","0.9","1","5","ok","ok","20.377",""
"Q014","1","0.4","0","0.4","1","1","5","ok","ok","15.289","Temporal judge failed: Temporal judge response must be a JSON object"
"Q015","1","0.2","1","1","1","1","5","ok","ok","19.073",""
"Q016","1","0.2","1","0.4","1","0.5","5","ok","ok","20.486",""
"Q017","1","0.2","1","0.6","1","1","5","ok","ok","20.373",""
"Q018","1","0.2","0","0.6","0.8","1","5","ok","ok","27.755",""
"Q019","1","1","1","0.6","1","1","5","ok","ok","20.044",""
"Q020","1","0.4","1","0.6","1","1","5","ok","ok","20.211",""
"Q021","0.5","0.6","1","0.6","1","1","5","ok","ok","23.346",""
"Q022","0.667","0.2","1","0.4","0.7","1","5","ok","ok","19.613",""
"Q023","1","0.6","1","0.6","1","1","5","ok","ok","21.875",""
"Q024","1","0.8","1","0.6","1","1","5","ok","ok","25.519",""
"Q025","1","0.2","1","0.6","1","1","5","ok","ok","25.823",""
"Q026","0.5","0.2","1","0.8","0.5","1","5","ok","ok","23.29",""
"Q027","1","0.2","1","1","1","1","5","ok","ok","17.751",""
"Q028","0.5","0.8","1","1","1","1","5","ok","ok","21.431",""
"Q029","0","0","0","1","0.2","1","5","ok","ok","19.788",""
"Q030","0.2","0.4","0","0.2","0.2","0.5","5","ok","ok","60.501",""
"Q031","0.5","0.2","0","0.2","0.2","1","5","ok","ok","22.242",""
"Q032","0.667","0.2","1","0","0.3","0.5","5","ok","ok","53.706",""
"Q033","0.75","1","0.5","0.8","0.6","0.667","5","ok","ok","26.581",""
"Q034","0.667","0.8","1","0.6","0.9","0.8","5","ok","ok","23.292",""
"Q035","0.5","0.2","1","0.2","0.6","0.6","5","ok","ok","28.069",""
"Q036","0.5","0.2","0","0.4","0.2","1","5","ok","ok","29.139",""
"Q037","0.5","0.2","0.5","0.8","0.3","0.333","5","ok","ok","169.711",""
"Q038","1","0.2","1","1","1","1","5","ok","ok","40.174",""
"Q039","0","0.4","0","1","0.6","0.75","5","ok","ok","27.083",""
"Q040","1","0.2","1","0.6","1","1","5","ok","ok","19.735",""
"Q041","1","0.4","1","0.4","1","1","5","ok","ok","18.905",""
"Q042","0.667","0.2","1","0.4","0.6","1","5","ok","ok","35.999",""
"Q043","0.333","0.4","0.5","0.6","0.2","0.333","5","ok","ok","21.049",""
"Q044","0","0","0","1","0.2","0.667","5","ok","ok","26.009",""
"Q045","0.5","0.2","0.5","0.8","0.5","1","5","ok","ok","23.999",""
"Q046","1","0.2","1","0.6","0.2","0.75","5","ok","ok","23.881",""
"Q047","1","0.4","1","0.8","0.7","1","5","ok","ok","19.856",""
"Q048","0.25","0.2","0.5","0.4","0.3","0.75","5","ok","ok","28.466",""
"Q049","1","0.4","1","0.4","1","1","5","ok","ok","20.527",""
"Q050","0.333","0.4","1","0.8","0.6","0.833","5","ok","ok","24.781",""
"Q051","1","0.2","1","0.4","1","1","5","ok","ok","19.568",""
"Q052","0","0.2","1","0","0.5","0","5","ok","ok","30.361",""
"Q053","0","0.6","0","0","0","0","5","ok","ok","29.69",""
"Q054","1","1","1","0.2","1","1","5","ok","ok","16.596",""
"Q055","0.5","0.2","1","0.2","0","0","5","ok","ok","30.54",""
"Q056","1","0.4","1","0.4","1","1","5","ok","ok","42.747",""
"Q057","1","0.2","0","0.2","1","1","5","ok","ok","14.921",""
"Q058","1","0.2","1","0.4","1","1","5","ok","ok","16.16",""
"Q059","1","0.4","1","0.6","1","1","5","ok","ok","21.965",""
"Q060","1","0.2","1","0.2","1","1","5","ok","ok","18.376",""
"Q061","0","0","0","0","0.2","1","5","ok","ok","17.667",""
"Q062","0","0.2","0","0.6","0.2","1","5","ok","ok","27.245",""
"Q063","0","0","0.5","0.4","0.2","1","5","ok","ok","15.589",""
"Q064","1","0.6","1","0.2","1","1","5","ok","ok","15.022",""
"Q065","1","0.2","1","0.4","1","1","5","ok","ok","27.514",""
"Q066","0","0.2","1","0","1","1","5","ok","ok","17.163",""
"Q067","1","0.2","1","0.2","1","1","5","ok","ok","17.783",""
"Q068","1","0.4","1","0.2","1","1","5","ok","ok","14.857",""
"Q069","0","0","0","0","0","0.667","5","ok","ok","16.31",""
"Q070","1","0.2","1","0.2","1","1","5","ok","ok","18.308",""
"Q071","1","0.2","1","0.4","1","1","5","ok","ok","18.836",""
"Q072","1","0.2","1","0.2","1","1","5","ok","ok","15.748",""
"Q073","0","0","0","0.2","0","0.75","5","ok","ok","17.599",""
"Q074","1","0.6","1","0.4","1","1","5","ok","ok","17.414",""
"Q075","1","0.4","1","0.4","1","1","5","ok","ok","17.316",""
"Q076","0","0","1","0.4","0.5","0","5","ok","ok","17.323",""
"Q077","0","0","0","0","0","0","5","ok","ok","15.179",""
"Q078","0.5","0.2","1","0.6","0.8","1","5","ok","ok","42.845",""
"Q079","1","0.4","1","0.4","1","1","5","ok","ok","144.615",""
"Q080","0","0","0","0.4","0.2","0.333","5","ok","ok","19.597",""
"Q081","1","0.2","0","0.4","0.2","0.667","5","ok","ok","16.064",""
"Q082","1","0.2","0.5","0.6","0.5","1","5","ok","ok","27.588",""
"Q083","1","0.6","1","0.4","1","1","5","ok","ok","16.81",""
"Q084","1","0.8","0","0.8","0.9","1","5","ok","ok","17.272",""
"Q085","0","0","0","0.4","0.2","1","5","ok","ok","31.529",""
"Q086","1","0.2","0","0.2","0.3","0.667","5","ok","ok","15.637",""
"Q087","0.5","0.2","0.5","0.2","0.3","0.5","5","ok","ok","40.404",""
"Q088","0","0","0","1","0.2","1","5","ok","ok","19.503",""
